"Mineral Name","Mineral Name (plain)","Database ID"
"Abellaite","Abellaite","6482"
"Abelsonite","Abelsonite","777"
"Abenakiite-(Ce)","Abenakiite-(Ce)","778"
"Abernathyite","Abernathyite","779"
"Abhurite","Abhurite","780"
"Abramovite","Abramovite","5327"
"Abswurmbachite","Abswurmbachite","781"
"Abuite","Abuite","6382"
"Acanthite","Acanthite","782"
"Acetamide","Acetamide","783"
"Achalaite","Achalaite","6262"
"Achávalite","Achavalite","5363"
"Achyrophanite","Achyrophanite","6754"
"Acmonidesite","Acmonidesite","6229"
"Actinolite","Actinolite","784"
"Acuminite","Acuminite","785"
"Adachiite","Adachiite","6164"
"Adamite","Adamite","786"
"Adamsite-(Y)","Adamsite-(Y)","787"
"Adanite","Adanite","6938"
"Addibischoffite","Addibischoffite","6412"
"Adelite","Adelite","788"
"Admontite","Admontite","789"
"Adolfpateraite","Adolfpateraite","5970"
"Adranosite","Adranosite","5717"
"Adranosite-(Fe)","Adranosite-(Fe)","5936"
"Adrianite","Adrianite","6322"
"Aegirine","Aegirine","790"
"Aegirine-augite","Aegirine-augite","4919"
"Aenigmatite","Aenigmatite","791"
"Aerinite","Aerinite","792"
"Aerugite","Aerugite","4876"
"Aeschynite-(Ce)","Aeschynite-(Ce)","793"
"Aeschynite-(Nd)","Aeschynite-(Nd)","794"
"Aeschynite-(Y)","Aeschynite-(Y)","795"
"Afghanite","Afghanite","796"
"Afmite","Afmite","5844"
"Afwillite","Afwillite","797"
"Agaite","Agaite","6058"
"Agakhanovite-(Y)","Agakhanovite-(Y)","6248"
"Agardite-(Ce)","Agardite-(Ce)","799"
"Agardite-(La)","Agardite-(La)","801"
"Agardite-(Nd)","Agardite-(Nd)","802"
"Agardite-(Y)","Agardite-(Y)","803"
"Agmantinite","Agmantinite","6381"
"Agrellite","Agrellite","804"
"Agricolaite","Agricolaite","5810"
"Agrinierite","Agrinierite","805"
"Aguilarite","Aguilarite","806"
"Aheylite","Aheylite","807"
"Ahlfeldite","Ahlfeldite","808"
"Ahrensite","Ahrensite","6189"
"Aikinite","Aikinite","809"
"Aiolosite","Aiolosite","5674"
"Ajoite","Ajoite","810"
"Akaganeite","Akaganeite","811"
"Akaogiite","Akaogiite","5657"
"Akatoreite","Akatoreite","812"
"Akdalaite","Akdalaite","813"
"Åkermanite","Akermanite","814"
"Akhtenskite","Akhtenskite","815"
"Akimotoite","Akimotoite","816"
"Aklimaite","Aklimaite","5978"
"Akopovaite","Akopovaite","6825"
